Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,250040,247045,AlPatch_0_1,6929.8679859281,6929.9545932774
0,250039,247045,AlPatch_0_1,6929.8679859281,6929.9543652707
0,250086,241091,AlPatch_0_1,5354.2102483451,5354.306311977
0,250085,241091,AlPatch_0_1,5354.2102483451,5354.3069144186
0,250158,232599,AlPatch_2_0,764.57595789451,764.66505605745
0,250157,232599,AlPatch_2_0,764.57595789451,764.6625187904
0,250280,218073,AlPatch_1_1,3487.3372273531,3487.4292043436
0,250279,218073,AlPatch_1_1,3487.3372273531,3487.4347728969
0,251242,110199,AlPatch_2_0,633.74440124995,633.85165867442
0,251241,110199,AlPatch_2_0,633.74440124995,633.83079952861
0,251390,94264,AlPatch_2_1,1835.6178445194,1835.7119303659
0,251389,94264,AlPatch_2_1,1835.6178445194,1835.7124083104
0,251556,78806,AlPatch_1_1,6488.5256234542,6488.6191579529
0,251555,78806,AlPatch_1_1,6488.5256234542,6488.6212730162
0,251582,75889,AlPatch_1_0,3394.4221991616,3394.5198187702
0,251581,75889,AlPatch_1_0,3394.4221991616,3394.5272332229
0,251612,73284,AlPatch_2_0,9257.4678504719,9257.5628640749
0,251611,73284,AlPatch_2_0,9257.467850472,9257.5712575949
0,251730,62099,AlPatch_2_0,4876.931367992,4877.0251839867
0,251729,62099,AlPatch_2_0,4876.931367992,4877.0259737938
0,251808,52234,AlPatch_0_0,8713.7398737126,8713.8263356896
0,251807,52234,AlPatch_0_0,8713.7398737125,8713.829699951
0,251992,38499,AlPatch_2_1,7300.3708223128,7300.4674934466
0,251991,38499,AlPatch_2_1,7300.3708223128,7300.46550088
0,252018,35819,AlPatch_2_0,889.21562097283,889.30577637186
0,252017,35819,AlPatch_2_0,889.21562097283,889.31569439325
0,252104,28715,AlPatch_0_1,1820.7424220878,1820.8416863088
0,252103,28715,AlPatch_0_1,1820.7424220878,1820.8445785326
